Product,City,Product Revenue,Normalization
Windup Android,Swampscott,61.82,0.723193187
Google Mini Kick Ball,Rockville,61.66,0.721321448
YouTube Tee Black,Santa Clara,61.35,0.717694953
Google Hub Mug White,New York,60.37,0.706230551
YouTube Twill Sandwich Cap Black,(not set),60.37,0.706230551
Google Shoreline Tonal Crew Maroon,New York,59.63,0.697573758
Google Shoreline Tonal Crew Maroon,Camp Hill,59.63,0.697573758
Google Shoreline Tonal Crew Olive,New York,59.63,0.697573758
Google Bike Tee Navy,New York,57.91,0.677452563
Google Tee White,Albuquerque,57.91,0.677452563
Google Crewneck Sweatshirt Grey,(not set),56.38,0.659554058
Google Crewneck Sweatshirt Grey,Hartford,56.38,0.659554058
Google Crewneck Sweatshirt Grey,Chicago,56.38,0.659554058
Android Tone Hoodie Black,San Jose,55.77,0.652418053
Windup Android,Oakland,55.63,0.650780281
Google Tonal Tee Coral,Norwood,54.5,0.637561124
Google Tonal Tee Spearmint,Norwood,54.5,0.637561124
Google Toddler FC Zip Hoodie,Newton,54.22,0.634285581
Google Toddler FC Zip Hoodie,Noblesville,54.21,0.634168597
Google 24 oz Ring Bottle Red,Portland,54.15,0.633466695
Google 24oz Ring Bottle Blue,Portland,54.15,0.633466695
Google Leather Strap Hat Red,Los Angeles,52.67,0.616153108
YouTube Leather Strap Hat Black,Plano,52.67,0.616153108
Google F/C Longsleeve Charcoal,Los Angeles,52.66,0.616036125
Google F/C Longsleeve Charcoal,Santa Clara,52.66,0.616036125
Google F/C Longsleeve Charcoal,Chicago,52.66,0.616036125
Google F/C Longsleeve Charcoal,Northbrook,52.66,0.616036125
Google F/C Longsleeve Charcoal,Minneapolis,52.66,0.616036125
Google F/C Longsleeve Charcoal,Parsippany-Troy Hills,52.66,0.616036125
Google F/C Longsleeve Charcoal,Spotswood,52.66,0.616036125
Google F/C Longsleeve Charcoal,New York,52.66,0.616036125
Google F/C Longsleeve Charcoal,Alliance,52.66,0.616036125
Google F/C Longsleeve Charcoal,Portland,52.66,0.616036125
Campus Corkbase Mug Blue,(not set),52.64,0.615802157
Campus Corkbase Mug Blue,Aracatuba,52.64,0.615802157
YouTube Women's Favorite Tee White,Santa Clara,51.13,0.59813762
YouTube Tee Black,San Francisco,51.09,0.597669685
Google Light Pen Yellow,Chicago,50.95,0.596031913
Google Crew Socks,(not set),49.56,0.57977118
Google Leather Strap Hat Black,New York,49.55,0.579654196
YouTube Crew Socks Summer 18,Los Angeles,49.55,0.579654196
Google Sunglasses,Oakville,48.8,0.570880419
Google Tudes Recycled Tee,Anaheim,48.01,0.561638708
Google Tudes Recycled Tee,Pasadena,48.01,0.561638708
Google Tudes Recycled Tee,San Francisco,48.01,0.561638708
Google Tudes Recycled Tee,Apopka,48.01,0.561638708
Google Tudes Recycled Tee,Mount Prospect,48.01,0.561638708
Google Tudes Recycled Tee,New York,48.01,0.561638708
Google Tudes Recycled Tee,Virginia Beach,48.01,0.561638708
Google Tudes Recycled Tee,Roseville,48.01,0.561638708
Google Bike Tee Navy,Wauwatosa,47.69,0.557895229
Google Shoreline Tonal Tee Olive,San Francisco,47.69,0.557895229
Google Tee Grey,San Francisco,47.69,0.557895229
Google Tee Red,(not set),47.69,0.557895229
Google Tee White,San Jose,47.69,0.557895229
Google Tee White,Denver,47.69,0.557895229
Google Tee Yellow,(not set),47.69,0.557895229
Google Tonal Tee Fog,Atlanta,47.69,0.557895229
Google Tonal Tee Spearmint,Sikeston,47.69,0.557895229
Google Women's White Tee,Breezy Point,47.69,0.557895229
YouTube Tee Black,Lovelady,47.69,0.557895229
Android Tone Hoodie Black,Bengaluru,46.48,0.543740203
Android Tone Hoodie Black,San Bernardino,46.48,0.543740203
Android Tone Hoodie Black,South Brunswick Township,46.48,0.543740203
Google Chrome Dinosaur Collectible,Berkeley,46.48,0.543740203
Google Chrome Dinosaur Collectible,Buffalo Grove,46.48,0.543740203
Google Chrome Dinosaur Collectible,Cambridge,46.48,0.543740203
Google Chrome Dinosaur Collectible,Waltham,46.48,0.543740203
Google Chrome Dinosaur Collectible,Albany,46.48,0.543740203
Google Chrome Dinosaur Collectible,New York,46.48,0.543740203
Google Chrome Dinosaur Collectible,Richardson,46.48,0.543740203
Google F/C Longsleeve Ash,Oak Brook,46.48,0.543740203
Google F/C Longsleeve Ash,San Antonio,46.48,0.543740203
Google F/C Longsleeve Charcoal,Atlanta,46.48,0.543740203
Google F/C Longsleeve Charcoal,LaGrange,46.48,0.543740203
Google F/C Longsleeve Charcoal,Cambridge,46.48,0.543740203
Google F/C Longsleeve Charcoal,Newton,46.48,0.543740203
Google F/C Longsleeve Charcoal,Las Vegas,46.48,0.543740203
Google F/C Longsleeve Charcoal,Sumter,46.48,0.543740203
Google Flat Front Bag Grey,San Diego,46.48,0.543740203
Google Flat Front Bag Grey,Essex,46.48,0.543740203
Google Tudes Recycled Tee,Winnipeg,46.48,0.543740203
Google Tudes Recycled Tee,Louisville,46.48,0.543740203
Google Woodtop Bottle Black,Anaheim,46.48,0.543740203
Google Woodtop Bottle Black,Chattanooga,46.48,0.543740203
Google Youth FC Longsleeve Charcoal,(not set),46.48,0.543740203
Google Youth FC Longsleeve Charcoal,Wexford,46.48,0.543740203
Google F/C Longsleeve Ash,(not set),46.46,0.543506235
Google F/C Longsleeve Ash,Los Angeles,46.46,0.543506235
Google Flat Front Bag Grey,Los Angeles,46.46,0.543506235
Google Flat Front Bag Grey,Bolingbrook,46.46,0.543506235
Google Flat Front Bag Grey,Chicago,46.46,0.543506235
Google Flat Front Bag Grey,Detroit,46.46,0.543506235
Google Flat Front Bag Grey,Grand Island,46.46,0.543506235
Google Flat Front Bag Grey,Jersey City,46.46,0.543506235
Google Flat Front Bag Grey,New York,46.46,0.543506235
Google Flat Front Bag Grey,Austin,46.46,0.543506235
Google Flat Front Bag Grey,Euless,46.46,0.543506235
Google Flat Front Bag Grey,Waco,46.46,0.543506235
Google Flat Front Bag Grey,Halton Hills,46.46,0.543506235
Google Unisex 3/4 Raglan Red,Des Moines,46.46,0.543506235
Google Metallic Notebook Set,New York,46.4,0.542804333
Google Small Cable Organizer Blue,Menlo Park,46.32,0.541868464
Flamingo and Friends Tee Blue,Louisville,44.93,0.52560773
Unisex Google Jumbo Print Tee White,(not set),44.93,0.52560773
Unisex Google Jumbo Print Tee White,Clinton,44.93,0.52560773
Unisex Google Pocket Tee Grey,Palo Alto,44.93,0.52560773
Unisex Google Pocket Tee Grey,Atlanta,44.93,0.52560773
Unisex Google Pocket Tee Grey,Garland,44.93,0.52560773
Google F/C Longsleeve Ash,San Diego,44.91,0.525373763
Google F/C Longsleeve Ash,Santa Cruz,44.91,0.525373763
Google F/C Longsleeve Ash,Nashville,44.91,0.525373763
Google F/C Longsleeve Ash,Houston,44.91,0.525373763
Google F/C Longsleeve Ash,Kirkland,44.91,0.525373763
Android Fanatic Bundle,Santa Clara,43.38,0.507475258
Android Sport Socks,Dallas,43.38,0.507475258
Android Super Hero 3D Framed Art,Albany,43.38,0.507475258
Android Techie 3D Framed Art,Rumson,43.38,0.507475258
Google Cork Base Tumbler,The Woodlands,43.38,0.507475258
Android Techie 3D Framed Art,Mountain View,43.36,0.507241291
YouTube Kids Tee White,New York,43.36,0.507241291
Google Campus Bike Bottle,Findlay,41.83,0.489342786
YouTube 25 oz Gear Cap Bottle Black,Memphis,41.83,0.489342786
Android 25 oz Gear Cap Bottle White,Sunnyvale,41.81,0.489108818
YouTube 25 oz Gear Cap Bottle Black,New York,41.81,0.489108818
YouTube 25 oz Gear Cap Bottle Black,Roseville,41.81,0.489108818
Google Light Pen Yellow,Bengaluru,41.69,0.487705014
Google Tonal Tee Coral,Austin,40.88,0.478229335
Google Twill Cap Charcoal,Calgary,40.28,0.471210313
YouTube Play Mug,Santa Rosa,40.28,0.471210313
YouTube Twill Sandwich Cap Black,Dallas,40.28,0.471210313
YouTube Twill Sandwich Cap Black,Villas,40.28,0.471210313
YouTube Wordmark Crew Grey,San Francisco,40.28,0.471210313
YouTube Wordmark Crew Grey,Simi Valley,40.28,0.471210313
YouTube Wordmark Crew Grey,Albuquerque,40.28,0.471210313
YouTube Twill Sandwich Cap Black,Los Angeles,40.27,0.47109333
Android Mug Gray,Koto City,40.25,0.470859362
Google Camp Mug Ivory,Mountain View,40.25,0.470859362
Google Camp Mug Ivory,Chicago,40.25,0.470859362
Google Camp Mug Ivory,Boston,40.25,0.470859362
Google Hub Mug White,San Francisco,40.25,0.470859362
Google Large Tote Canvas,New York,40.25,0.470859362
Google Large Tote Canvas,Houston,40.25,0.470859362
Google Large Tote White,Philadelphia,40.25,0.470859362
YouTube Play Mug,New York,40.25,0.470859362
Google Mini Kick Ball,Los Angeles,40.08,0.468870639
Google Campus Bike Eco Tee Navy,Louisville,38.73,0.453077841
Google Campus Bike Eco Tee Navy,Jefferson Hills,38.73,0.453077841
Google Clear Pen 4-Pack,(not set),38.73,0.453077841
Google Tee Dark Blue,London,38.73,0.453077841
Google Tee Dark Blue,Chicago,38.73,0.453077841
Google Tee Dark Blue,Dallas,38.73,0.453077841
Google Tee Mint Green,London,38.73,0.453077841
Google Tee Mint Green,Peoria,38.73,0.453077841
Google Tee Mint Green,Chicago,38.73,0.453077841
Google Tee Mint Green,Dallas,38.73,0.453077841
Google Tee Mint Green,San Antonio,38.73,0.453077841
Google Toddler FC Tee Charcoal,Hollywood,38.73,0.453077841
Google Toddler FC Tee Charcoal,Jefferson Hills,38.73,0.453077841
Google Women's Ringer Tee,Irvine,38.73,0.453077841
Google Women's Ringer Tee,Long Beach,38.73,0.453077841
Google Women's Ringer Tee,Newport Beach,38.73,0.453077841
Google Women's Ringer Tee,Sunnyvale,38.73,0.453077841
Google Women's Ringer Tee,Arlington,38.73,0.453077841
Youth Jumbo Print Tee White,Montreal,38.73,0.453077841
Android Diamond Tee,Fremont,38.72,0.452960857
Android Dino Buddies Tee Green,Sao Paulo,38.72,0.452960857
Android Dino Buddies Tee Green,Belmont,38.72,0.452960857
Android Dino Buddies Tee Grey,Austin,38.72,0.452960857
Android Dino Buddies Tee Grey,Redmond,38.72,0.452960857
Google Campus Bike Eco Tee Navy,Belmont,38.72,0.452960857
Google Campus Bike Eco Tee Navy,Hartford,38.72,0.452960857
Google Campus Bike Eco Tee Navy,Apopka,38.72,0.452960857
Google Campus Bike Eco Tee Navy,Dallas,38.72,0.452960857
Google Campus Bike Eco Tee Navy,Virginia Beach,38.72,0.452960857
Google Infant Charcoal Onesie,Irvine,38.72,0.452960857
Google Infant Charcoal Onesie,San Jose,38.72,0.452960857
Google Infant Charcoal Onesie,Walnut Creek,38.72,0.452960857
Google Mountain View Tee Blue,New York,38.72,0.452960857
Google Mountain View Tee Blue,Austin,38.72,0.452960857
Google Tee Dark Blue,(not set),38.72,0.452960857
Google Tee Dark Blue,Milpitas,38.72,0.452960857
Google Tee Dark Blue,New York,38.72,0.452960857
Google Tee Dark Blue,Pittsburgh,38.72,0.452960857
Google Tee Dark Blue,Houston,38.72,0.452960857
Google Tee Mint Green,Huntington Beach,38.72,0.452960857
Google Tee Mint Green,Palo Alto,38.72,0.452960857
Google Tee Mint Green,New York,38.72,0.452960857
Google Tee Mint Green,Virginia Beach,38.72,0.452960857
Google Toddler FC Tee Charcoal,Breezy Point,38.72,0.452960857
Google Unisex Ringer Tee,Mobile,38.72,0.452960857
Google Unisex Ringer Tee,Phoenix,38.72,0.452960857
Google Unisex Ringer Tee,Huntington Beach,38.72,0.452960857
Google Unisex Ringer Tee,Chicago,38.72,0.452960857
Google Women's Ringer Tee,New York,38.72,0.452960857
Google Youth FC Tee Charcoal,Dublin,38.72,0.452960857
Google Youth FC Tee Charcoal,Vernon,38.72,0.452960857
Google Youth FC Tee Charcoal,Mount Prospect,38.72,0.452960857
Google Clear Pen 4-Pack,Sikeston,38.65,0.452141971
Google Clear Pen 4-Pack,Matthews,38.65,0.452141971
Android Iconic Bottle Black,Kyle,37.18,0.434945369
Google Campus Bike Carry Pouch,Newton,37.18,0.434945369
Google Thermal Bottle White,Campbell,37.18,0.434945369
Google Thermal Bottle White,Greeley,37.18,0.434945369
Google Thermal Bottle White,Washington,37.18,0.434945369
Google Thermal Bottle White,Syracuse,37.18,0.434945369
Google Youth Badge Tee Navy,Wexford,37.18,0.434945369
YouTube Transmission Bottle Black,Newark,37.18,0.434945369
Google Bike Tee Grey,Portland,37.17,0.434828385
Google Bike Tee Grey,Salem,37.17,0.434828385
Google Canteen Bottle Black,Toronto,37.17,0.434828385
Google Canteen Bottle Black,Oakland,37.17,0.434828385
Google Canteen Bottle Black,Plano,37.17,0.434828385
Google Canteen Bottle Black,Wheaton-Glenmont,37.17,0.434828385
Google Thermal Bottle Blue,Sunnyvale,37.17,0.434828385
Google Thermal Bottle Green,Oakland,37.17,0.434828385
Google Thermal Bottle Red,Parkville,37.17,0.434828385
Google Thermal Bottle Red,Charlotte,37.17,0.434828385
Google Thermal Bottle White,(not set),37.17,0.434828385
Google Thermal Bottle White,Mountain Top,37.17,0.434828385
Google Thermal Bottle White,Dallas,37.17,0.434828385
Google Thermal Bottle White,Seattle,37.17,0.434828385
Google Thermal Bottle White,Minato City,37.17,0.434828385
YouTube Transmission Bottle Black,McLean,37.17,0.434828385
Google See-No Hear-No Set,Los Altos,37.15,0.434594418
Google Magnet,(not set),37.14,0.434477434
YouTube Buoy Bottle,Honolulu,37.14,0.434477434
Google Light Pen Green,Bengaluru,37.06,0.433541564
Google Glass Bottle,Baton Rouge,35.63,0.416812896
Google Glass Bottle,Westerville,35.62,0.416695913
Google Sport Socks,Newport Beach,34.7,0.405933413
Google Tri Pen Black,Aracatuba,34.67,0.405582462
Google Tri Pen Black,Levis,34.67,0.405582462
Google Tri Pen Silver,Aracatuba,34.67,0.405582462
Google Pride Tote Black,Rumson,34.08,0.398680424
Google Tee F/C Black,(not set),34.08,0.398680424
Google Tee F/C Black,Union City,34.08,0.398680424
Google Tee F/C Black,Baton Rouge,34.08,0.398680424
Google Tonal Tee Coral,(not set),34.08,0.398680424
Google Tonal Tee Coral,San Jose,34.08,0.398680424
Google Unisex Eco Tee Black,Tracy,34.08,0.398680424
Google Unisex Eco Tee Black,Greeley,34.08,0.398680424
Google Unisex Eco Tee Black,Riverview,34.08,0.398680424
Google Unisex Eco Tee Black,Bolingbrook,34.08,0.398680424
Google Unisex Eco Tee Black,Potomac,34.08,0.398680424
Google Unisex Eco Tee Black,Nashville,34.08,0.398680424
Google Unisex Eco Tee Black,Dallas,34.08,0.398680424
Google Unisex Pride Eco-Tee Black,Hayward,34.08,0.398680424
Google Unisex Pride Eco-Tee Black,San Jose,34.08,0.398680424
Google Women's Pride Eco-Tee Black,Denver,34.08,0.398680424
Google Women's Tee F/C Black,Chicago,34.08,0.398680424
Google Women's Tee Grey,Moncks Corner,34.08,0.398680424
YouTube Icon Tee Charcoal,Morton Grove,34.08,0.398680424
YouTube Icon Tee Charcoal,Las Vegas,34.08,0.398680424
YouTube Icon Tee Charcoal,Columbus,34.08,0.398680424
YouTube Icon Tee Grey,Irvine,34.08,0.398680424
YouTube Icon Tee Grey,Los Angeles,34.08,0.398680424
YouTube Icon Tee Grey,Atlanta,34.08,0.398680424
YouTube Icon Tee Grey,Woodstock,34.08,0.398680424
YouTube Icon Tee Grey,Pinckney,34.08,0.398680424
YouTube Icon Tee Grey,Villas,34.08,0.398680424
YouTube Tee Black,(not set),34.08,0.398680424
YouTube Tee Black,Irvine,34.08,0.398680424
YouTube Tee Black,Ithaca,34.08,0.398680424
Google Bike Tee Navy,Apopka,34.07,0.39856344
Google Bike Tee Navy,Chicago,34.07,0.39856344
Google Bike Tee Navy,Detroit,34.07,0.39856344
Google Bike Tee Navy,Portland,34.07,0.39856344
Google Bike Tee Navy,Houston,34.07,0.39856344
Google Bike Tee Navy,Nether Providence Township,34.07,0.39856344
Google Black Tee,Los Angeles,34.07,0.39856344
Google Black Tee,San Francisco,34.07,0.39856344
Google Black Tee,Simi Valley,34.07,0.39856344
Google Black Tee,Walnut Creek,34.07,0.39856344
Google Black Tee,Swampscott,34.07,0.39856344
Google Black Tee,Parkville,34.07,0.39856344
Google Black Tee,New York,34.07,0.39856344
Google Black Tee,Kirkland,34.07,0.39856344
Google Black Tee,Redmond,34.07,0.39856344
Google Black Tee,Tumwater,34.07,0.39856344
Google Tee Blue,Sunnyvale,34.07,0.39856344
Google Tee Blue,Waltham,34.07,0.39856344
Google Tee Blue,New York,34.07,0.39856344
Google Tee Blue,Georgetown,34.07,0.39856344
Google Tee F/C Black,London,34.07,0.39856344
Google Tee F/C Black,Tucson,34.07,0.39856344
Google Tee F/C Black,Fremont,34.07,0.39856344
Google Tee F/C Black,Hayward,34.07,0.39856344
Google Tee F/C Black,San Francisco,34.07,0.39856344
